Group/Artist,Song,Score,Comment,YT Link,Due November 1st
2NE1,Fire,10,,https://www.youtube.com/watch?v=ISEoXdHb4W4,
2NE1,I Don't Care,4,,https://www.youtube.com/watch?v=4MgAxMO1KD0,
2NE1,Clap Your Hands,1,,https://www.youtube.com/watch?v=ZTw-UM5Jy4E,
2NE1,Go Away,3,,https://www.youtube.com/watch?v=3yW13T2sfKg,
2NE1,Can't Nobody,5,,https://www.youtube.com/watch?v=Ihi_kJJj_8A,
2NE1,It Hurts,6,,https://www.youtube.com/watch?v=aUiMaz4BNKw,
2NE1,Lonely,6,,https://www.youtube.com/watch?v=5n4V3lGEyG4,
2NE1,I Am The Best,10,,https://www.youtube.com/watch?v=j7_lSP8Vc3o,
2NE1,Hate You,5,,https://www.youtube.com/watch?v=NB5jyYD2WEw,
2NE1,Ugly,10,,https://www.youtube.com/watch?v=NGe0hHvAGkc,
2NE1,I Love You,5,,https://www.youtube.com/watch?v=LUrUPzLm5SI,
2NE1,Falling In Love,3,,https://www.youtube.com/watch?v=zEVd9pSG85Q,
2NE1,Do You Love Me,1,,https://www.youtube.com/watch?v=HRTb81FpWq0,
2NE1,Missing You,5,,https://www.youtube.com/watch?v=AG0jlKdB1s0,
2NE1,Come Back Home,3,,https://www.youtube.com/watch?v=vLbfv-AAyvQ,
2NE1,Gotta Be You,3,,https://www.youtube.com/watch?v=zdKTgwffmdo,
2NE1,Goodbye,10,,https://www.youtube.com/watch?v=wEkLHC7l25w,
2NE1,Overall,5,,,
4Minute,Hot Issue,10,,https://www.youtube.com/watch?v=nPPKwg5eQ4o,
4Minute,Muzik,3,,https://www.youtube.com/watch?v=aNYImwBU4f4,
4Minute,What A Girl Wants,3,,https://www.youtube.com/watch?v=f07vXjZkfjk,
4Minute,Jingle Jingle,1,,https://www.youtube.com/watch?v=DI3P0ATq97U,
4Minute,HuH,3,,https://www.youtube.com/watch?v=kRbIZtUS2Ag,
4Minute,I My Me Mine,3,,https://www.youtube.com/watch?v=OGvwy3qhjDM,
4Minute,Heart to Heart,1,,https://www.youtube.com/watch?v=h97jt1XtnGQ,
4Minute,Mirror MIrror,8,,https://www.youtube.com/watch?v=1fOG_wcV_oU,
4Minute,Volume Up,9,,https://www.youtube.com/watch?v=qsWl1--Niyg,
4Minute,Over and Over,5,,https://www.youtube.com/watch?v=_2ANhvjbGyA,
4Minute,What's Your Name?,9,,https://www.youtube.com/watch?v=H-IJWqIHioA,
4Minute,Is It Poppin'?,4,,https://www.youtube.com/watch?v=DRSRpXPZVdM,
4Minute,Watcha Doin' Today,7,,https://www.youtube.com/watch?v=74Pru-JQzRk,
4Minute,Thank You,5,,https://www.youtube.com/watch?v=0WGDBzBzqKM,
4Minute,Cold Rain,6,,https://www.youtube.com/watch?v=ZT9zbZGB2gE,
4Minute,Crazy,10,,https://www.youtube.com/watch?v=1nCLBTmjJBY,
4Minute,Hate You,10,,https://www.youtube.com/watch?v=D_F9HUTYnl0,
4Minute,Overall,5,,,
APink,I Don't Know,1,,https://www.youtube.com/watch?v=zI6MvzIZ3CA,
APink,My My,1,,https://www.youtube.com/watch?v=dA9niwM2r9Q,
APink,Hush,2,,https://www.youtube.com/watch?v=YXZ19CvCmto,
APink,NoNoNo,7,,https://www.youtube.com/watch?v=hspqQuuuGIw,
APink,Good Morning Baby,5,,https://www.youtube.com/watch?v=SshpsY8GILg,
APink,Mr. Chu,8,,https://www.youtube.com/watch?v=K5H-GvnNz2Y,
APink,Luv,8,,https://www.youtube.com/watch?v=8dVjSvLzD1I,
APink,Promise U,3,,https://www.youtube.com/watch?v=nzljAKtsOuw,
APink,Remember,9,,https://www.youtube.com/watch?v=bXlrqQKbjSM,
APink,The Wave,2,,https://www.youtube.com/watch?v=yXvCNLTWwB0,
APink,Only One,5,,https://www.youtube.com/watch?v=kCSFdRf0210,
APink,Cause You're My Star,5,,https://www.youtube.com/watch?v=-r5ULxo4WD0,
APink,Always,1,,https://www.youtube.com/watch?v=b0hz_eJmj7E,
APink,Five,5,,https://www.youtube.com/watch?v=b22Ed7f0D-0,
APink,Miracle,1,,https://www.youtube.com/watch?v=fihius0K9B0,
APink,I'm So Sick,8,,https://www.youtube.com/watch?v=F4oHuML9U2A,
APink,%% (Eung Eung),7,,https://www.youtube.com/watch?v=499YUeNoYVE,
APink,Dumhdurum,5,,https://www.youtube.com/watch?v=WqzTRK5GPWQ,
APink,Overall,5,,,
f(x),La Cha Ta,1,,https://www.youtube.com/watch?v=H7MHZpSNJQc,
f(x),Chu~,1,,https://www.youtube.com/watch?v=Cnz2n5VcV4Q,
f(x),Nu ABO,2,,https://www.youtube.com/watch?v=E8ZrPFMr_nY,
f(x),Pinocchio (Danger),1,,https://www.youtube.com/watch?v=kKS12iGFyEA,
f(x),Hot Summer,1,,https://www.youtube.com/watch?v=z-rftpZ7kCY,
f(x),Electric Shock,3,,https://www.youtube.com/watch?v=n8I8QGFA1oM,
f(x),Rum Pum Pum Pum,1,,https://www.youtube.com/watch?v=xnku4o3tRB4,
f(x),Red Light,4,,https://www.youtube.com/watch?v=iv-8-EgPEY0,
f(x),4Walls,5,,https://www.youtube.com/watch?v=4j7Umwfx60Q,
f(x),All Mine,10,,https://www.youtube.com/watch?v=Z0S3knWIdrY,
f(x),Overall,1,,,
Kara,Break it,10,,https://www.youtube.com/watch?v=9NIYJ8A5R0s,
Kara,If U Wanna,5,,https://www.youtube.com/watch?v=3K7uDzaPsR8,
Kara,Rock U,1,,https://www.youtube.com/watch?v=aqF3qmxv-H8,
Kara,Pretty Girl,1,,https://www.youtube.com/watch?v=35eYHsrNGzc,
Kara,Honey,2,,https://www.youtube.com/watch?v=R_AQ7AkVzpM,
Kara,Wanna,3,,https://www.youtube.com/watch?v=24_nW2HILtk,
Kara,Mister,8,,https://www.youtube.com/watch?v=9VbGuZryssA,
Kara,Lupin,9,,https://www.youtube.com/watch?v=j7TYiyEhxdI,
Kara,Jumping,5,,https://www.youtube.com/watch?v=SweXhOQPMdM,
Kara,Step,10,,https://www.youtube.com/watch?v=zYoYoBtLqOY,
Kara,Pandora,10,,https://www.youtube.com/watch?v=g0XpNvLWimo,
Kara,Damaged Lady,9,,https://www.youtube.com/watch?v=_vHw17-zFa4,
Kara,Mamma Mia!,10,,https://www.youtube.com/watch?v=AEAdE9wSqwg,
Kara,Cupid,10,,https://www.youtube.com/watch?v=74RzHIpZuDY,
Kara,Overall,5,,,
